SPECIES_CODE,Species,Estimated Numbers,Number of Permits,Average Weight,Number of Vessels
410,Chinook,126314,1094,11.210000038147,1045
420,Sockeye,745420,846,5.30999994277954,778
430,Coho,1348251,1143,5.71000003814697,1062
440,Pink,20377267,775,3.20000004768372,718
450,Chum,8758710,945,6.69000005722046,894
